node_id,node,school_year,part_of
990000539,交代式,,
990000540,交点,,
990000541,公差,,
990000542,公式,,
990000543,公倍数,,
990000544,公比,,
990000545,公約数,,
990000546,勾配,,
990000547,工作用紙,,
990000548,広義の定積分,,
990000549,広義積分,,
990000550,恒等関数,,
990000551,恒等式,,
990000552,行き,,
990000553,降べきの順,,
990000554,項,,
990000555,項にふくまれる文字,,
990000556,項数,,
990000557,高さ,,
990000558,高次導関数,,
990000559,高次方程式,,
990000560,合わせると,,
990000561,合計,,
990000562,合成関数,,
990000563,合成数,,
990000564,合同,,
990000565,合同式,,
990000566,合同条件,,
990000567,根元事象,,
990000568,根号,,
990000569,左側極限,,
990000570,左側微分係数,,
990000571,左辺,,
990000572,差,,
990000573,座席,,
990000574,座標,,
990000575,座標空間,,
990000576,座標軸,,
990000577,座標軸に垂直な平面の方程式,,
990000578,座標平面,,
990000579,最高気温,,
990000580,最小,,
990000581,最小の数は1,,
990000582,最小公倍数,,
990000583,最小値,,
990000584,最大,,
990000585,最大の数は36,,
990000586,最大公約数,,
990000587,最大値,,
990000588,最大値・最小値の定理,,
990000589,最短の,,
990000590,最低気温,,
990000591,最頻値,,
990000592,際限なくのびる,,
990000593,作図,,
990000594,作図の完全解,,
990000595,作図の公法,,
990000596,錯角,,
990000597,三つ子素数,,
990000598,三角すい,,
990000599,三角関数,,
990000600,三角関数の合成,,
990000601,三角関数の相互関係,,
990000602,三角形,,
990000603,三角形の五心,,
990000604,三角形の合同条件,,
990000605,三角形の成立条件,,
990000606,三角形の相似条件,,
990000607,三角形を解く,,
990000608,三角柱,,
990000609,三角定規,,
990000610,三角比,,
990000611,三角不等式,,
990000612,三角方程式,,
990000613,三脚,,
990000614,三垂線の定理,,
990000615,三平方の定理,,
990000616,散布図,,
990000617,四角すい,,
990000618,四角形,,
990000619,四角柱,,
990000620,四捨五入,,
990000621,四則,,
990000622,四分位数,,
990000623,四分位範囲,,
990000624,四分位偏差,,
990000625,四面体,,
990000626,四面体の重心,,
990000627,始線,,
990000628,始点,,
990000629,指数,,
990000630,指数関数,,
990000631,指数不等式,,
990000632,指数方程式,,
990000633,指数法則,,
990000634,支出,,
990000635,支払う,,
990000636,紙に写す,,
990000637,試行,,
990000638,事後確率,,
990000639,事象,,
