id,Word,Part of Speech,Level,Topic_raw
500000534,baseball,020000003,021000001,Sport
500000535,basement,020000003,021000003,Homes and buildings
500000536,basic,020000001,021000002,Politics and society
500000537,basically,020000002,021000002,Functions
500000538,basin,020000003,021000003,The natural world
500000539,basis,020000003,021000003,People
500000540,basket,020000003,021000002,Leisure; Sport
500000541,basketball,020000003,021000001,Sport
500000542,bat,020000003,021000001,Animals; Sport
500000543,bat,020000004,021000003,Animals; Sport
500000544,batch,020000003,021000002,Science and technology
500000545,bath,020000003,021000001,Homes and buildings; Time and space
500000546,bathe,020000004,021000003,Health
500000547,bathhouse,020000003,021000004,Homes and buildings; Travel
500000548,bathroom,020000003,021000001,Homes and buildings
500000549,battery,020000003,021000002,Communication; Politics and society; Science and technology; The natural world; Travel
500000550,battle,020000003,021000003,Functions; Notions; Politics and society; Time and space
500000551,battlefield,020000003,021000004,Time and space
500000552,bay,020000003,021000002,Food and drink; The natural world
500000553,beach,020000003,021000001,The natural world; Travel
500000554,beagle,020000003,021000004,Animals
500000555,beak,020000003,021000004,Animals
500000556,beam,020000003,021000004,Appearance; Homes and buildings
500000557,bean,020000003,021000001,Food and drink; The natural world
500000558,bear,020000003,021000001,Animals
500000559,bear,020000004,021000002,Animals
500000560,beard,020000003,021000003,Appearance
500000561,bearing,020000003,021000004,Science and technology
500000562,beast,020000003,021000003,Animals
500000563,beat,020000003,021000004,Culture; Politics and society
500000564,beat,020000004,021000003,Food and drink
500000565,beautiful,020000001,021000001,Appearance
500000566,beautifully,020000002,021000003,Appearance
500000567,beautify,020000004,021000004,Appearance
500000568,beauty,020000003,021000002,Appearance
500000569,beaver,020000003,021000003,Animals
500000570,become,020000004,021000001,Appearance
500000571,bed,020000003,021000001,Homes and buildings; The natural world
500000572,bedroom,020000003,021000001,Homes and buildings
500000573,bedside,020000003,021000003,Homes and buildings
500000574,bee,020000003,021000001,Animals
500000575,beef,020000003,021000001,Food and drink
500000576,beer,020000003,021000002,Food and drink
500000577,before,020000002,021000001,Time and space
500000578,beg,020000004,021000002,Politics and society
500000579,begin,020000004,021000001,Politics and society
500000580,beginner,020000003,021000002,Communication
500000581,beginning,020000003,021000002,Culture
500000582,behalf,020000003,021000003,Time and space
500000583,behave,020000004,021000003,Politics and society
500000584,behavior/behaviour,020000003,021000002,Animals; Science and technology
500000585,behind,020000002,021000001,Communication
500000586,being,020000003,021000002,Science and technology
500000587,belief,020000003,021000003,Functions; Politics and society
500000588,believe,020000004,021000001,Functions; Politics and society
500000589,bell,020000003,021000001,People
500000590,bellow,020000004,021000004,Animals
500000591,belly,020000003,021000002,Appearance
500000592,belong,020000004,021000002,People
500000593,belongings,020000003,021000004,Functions
500000594,beloved,020000001,021000003,Notions
500000595,below,020000002,021000001,Time and space
500000596,belt,020000003,021000002,Appearance; Science and technology; The natural world
500000597,bench,020000003,021000002,Homes and buildings; Politics and society; Sport
500000598,bend,020000003,021000004,Health; Sport; The natural world; Travel
500000599,bend,020000004,021000002,Science and technology
500000600,beneficial,020000001,021000004,Notions
500000601,benefit,020000003,021000003,Culture; Politics and society
500000602,benefit,020000004,021000004,Culture; Politics and society
500000603,benevolence,020000003,021000004,Notions
500000604,benevolent,020000001,021000004,People
500000605,bent,020000001,021000003,Appearance
500000606,berry,020000003,021000004,Food and drink
500000607,besides,020000002,021000002,Notions
500000608,best,020000001,021000001,Notions
500000609,best,020000002,021000001,Notions
500000610,bestow,020000004,021000004,Notions
500000611,bestseller,020000003,021000004,Culture
500000612,bet,020000004,021000003,Functions
500000613,betray,020000004,021000004,Communication
500000614,better,020000001,021000001,Health
500000615,better,020000002,021000002,Functions
500000616,bewilder,020000004,021000004,Notions
500000617,bewilderment,020000003,021000004,Notions
500000618,bicycle,020000003,021000001,Sport; Travel
500000619,bid,020000004,021000004,Culture; Leisure; Notions
500000620,bidding,020000003,021000004,Work and business
500000621,big,020000001,021000001,Notions
500000622,bike,020000003,021000001,Sport; Travel
500000623,bikini,020000003,021000004,Appearance
500000624,bilingual,020000001,021000003,Communication
500000625,bill,020000003,021000002,Animals; Culture; Food and drink; Leisure; Politics and society
500000626,bill,020000004,021000003,Animals; Culture; Food and drink; Leisure; Politics and society
500000627,billion,020000003,021000004,Notions
500000628,bin,020000003,021000003,Homes and buildings
500000629,bind,020000004,021000004,Work and business
500000630,bio,020000003,021000004,People
500000631,biochemistry,020000003,021000003,Science and technology
500000632,biography,020000003,021000003,Culture
500000633,biological,020000001,021000004,Science and technology
500000634,biology,020000003,021000003,People; Science and technology
